283.47784679637664, 9.589787816992711,
285.94793672933747, 12.091497221790618,
287.9068935487485, 15.044465804476218,
289.8662854985058, 17.973241139902996,
291.8195856234138, 21.240721936953378,
292.76947516956534, 24.362347041896584,
294.7310427710546, 27.17015614102921,
296.27810520458047, 30.650259030535622,
297.83169459330213, 33.76746321115958,
299.5834713504559, 37.0525464811556,
300.79806519065636, 39.440483804719534,
301.7566573437355, 42.07824396448614,
303.71039259898987, 45.3215315142777,
304.674641446572, 47.64477945967953,
306.63098748390473, 50.74290752591811,
307.3421355133414, 53.154689992463766,
309.3106652003728, 55.57540713545514,
310.2783950907259, 57.70510910278633,
312.2271988687213, 61.22258678817795,
319.1351541957406, 63.095109315583635,
317.69649723584325, 64.77475886652108,
326.3300634818538, 60.20008849156018,
327.8844941225785, 57.676970673720305,
330.64992152597347, 54.945013496568954,
332.8600645900059, 51.39009139443668,
333.7786827685974, 48.79234001958538,
335.97023126249434, 46.27127601698043,
337.18845118891466, 43.796312624140135,
339.50813106547616, 40.67695019699812,
340.80597984528436, 38.43591287837269,
342.8612455146945, 36.03410940110406,
345.6848063323661, 32.866708583721504,
346.97902902595445, 30.82728165891963,
349.0241416539491, 28.989987284357042,
350.0719355280365, 26.668131756063616,
352.1176283298262, 24.798579718489236,
354.6850424169278, 21.889066153062302,
358.25296621380994, 19.286696594801413,
361.8137828817012, 17.079483408434726,
365.87746518656104, 14.880682742098102,
370.94861928674356, 12.601934126786247,
378.5364222669498, 10.236217459577546,
388.62659394035757, 8.577511127784504,
399.70896828966045, 7.68781988718969,
410.7818488859514, 7.325981314060257,
421.8512484394712, 7.157688719001456,
432.9141605950996, 7.350095446710654,
443.9724841034388, 7.797630963694772,
455.0300164656937, 8.289154202967694,
466.09071341228594, 8.60472655308547,
477.14951160827576, 9.02586943669634,
488.2108414717354, 9.30625160898309,
499.2713801891108, 9.63062150355863,
510.3380898459439, 9.611887164281683,
521.4101792961505, 9.294036313441026,
532.4827434340077, 8.949792829227093,
543.5559404887324, 8.570359167182161,
554.6294540018907, 8.173330416221688,
565.7028092858322, 7.785099209718979,
576.7731582146532, 7.564021347913652,
587.8406590175707, 7.5012992863479155,
598.9084762789219, 7.42098213586668,
609.9767682279237, 7.314272352012168,
621.0445854892748, 7.233955201530932,
632.1194703223127, 6.760681065269907,
643.2025303315554, 5.832867132024816,
654.2877528067618, 4.7848200911904115,
665.3723423651008, 3.771963228187019,
676.4589361601868, 2.647670802052062,


4.3742395182319*eV	,9.58978781699271,
4.3364537411358*eV	,12.0914972217906,
4.30694793276995*eV	,15.0444658044762,
4.2778345121009*eV	,17.973241139903,
4.24920074281851*eV	,21.2407219369534,
4.23541422575499*eV	,24.3623470418966,
4.20722563982928*eV	,27.1701561410292,
4.1852569535767*eV	,30.6502590305356,
4.16342525832671*eV	,33.7674632111596,
4.13908015155294*eV	,37.0525464811556,
4.12236694146967*eV	,39.4404838047195,
4.10927139409388*eV	,42.0782439644861,
4.08283690718894*eV	,45.3215315142777,
4.06991535006843*eV	,47.6447794596795,
4.04394875473924*eV	,50.7429075259181,
4.0345916056348*eV	,53.1546899924638,
4.00891446532153*eV	,55.5754071354551,
3.99641102835221*eV	,57.7051091027863,
3.9714669461624*eV	,61.2225867881779,
3.88550112294884*eV	,63.0951093155836,
3.90309622796842*eV	,64.7747588665211,
3.79983378414337*eV	,60.2000884915602,
3.78181958045393*eV	,57.6769706737203,
3.75018991166642*eV	,54.945013496569,
3.72528918879874*eV	,51.3900913944367,
3.71503653173582*eV	,48.7923400195854,
3.69080318616439*eV	,46.2712760169804,
3.67746877340491*eV	,43.7963126241401,
3.65234257014262*eV	,40.6769501969981,
3.63843381082375*eV	,38.4359128783727,
3.61662338984549*eV	,36.0341094011041,
3.58708273341865*eV	,32.8667085837215,
3.57370300874076*eV	,30.8272816589196,
3.55276283790546*eV	,28.989987284357,
3.54212912877357*eV	,26.6681317560636,
3.52155047130586*eV	,24.7985797184892,
3.49605946602731*eV	,21.8890661530623,
3.46124140465582*eV	,19.2866965948014,
3.42717734555024*eV	,17.0794834084347,
3.38911279864619*eV	,14.8806827420981,
3.34278100935989*eV	,12.6019341267862,
3.2757746072993*eV	,10.2362174595775,
3.19072348453411*eV	,8.5775111277845,
3.10225713800196*eV	,7.68781988718969,
3.01863386457533*eV	,7.32598131406026,
2.93942474885889*eV	,7.15768871900146,
2.86430916996444*eV	,7.35009544671065,
2.79296588054114*eV	,7.79763096369477,
2.72509495006795*eV	,8.28915420296769,
2.66042631684692*eV	,8.60472655308547,
2.59876615155796*eV	,9.02586943669634,
2.53988624312799*eV	,9.30625160898309,
2.48361922834495*eV	,9.63062150355863,
2.42976180824426*eV	,9.61188716428168,
2.37816607584047*eV	,9.29403631344103,
2.3287139635797*eV	,8.94979282922709,
2.28127393637731*eV	,8.57035916718216,
2.23572691831071*eV	,8.17333041622169,
2.19196365944413*eV	,7.78509920971898,
2.14989200232255*eV	,7.56402134791365,
2.10941516374922*eV	,7.50129928634792,
2.07043321160563*eV	,7.42098213586668,
2.03286430662333*eV	,7.31427235201217,
1.99663603704571*eV	,7.23395520153093,
1.96165449447038*eV	,6.76068106526991,
1.92785311239496*eV	,5.83286713202482,
1.8951906018119*eV	,4.78482009119041,
1.8636181894672*eV	,3.77196322818702,
1.83307505262428*eV	,2.64767080205206,
